ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
1024K,240,write,18250,5831141376,1490.35,618.75,370,1820,5490,9070,15070,22600,161.75,51725915.53,100%
4096K,336,write,17406,20726792192,2125.96,588.92,430,1040,7970,14750,24540,28810,158.36,188573236.74,100%
1024K,024,write,34608,6115463168,82.51,81.43,10,10,150,180,3020,3020,290.59,51351901.05,100%
0004K,096,write,18188,16544864,614.61,614.6,90,270,1290,3180,9220,26330,156.22,142098.45,100%
0016K,192,write,18222,83560064,1244.91,1244.87,340,1120,4020,7440,12370,20150,154.26,707425.19,100%
4096K,256,write,18077,22541596672,1585.7,608.25,440,1290,6020,10090,15240,26580,161.6,200980174.29,100%
0004K,336,write,19148,27753216,2044.21,2044.2,530,2930,6440,11760,16120,29490,164.31,237557.71,100%
4096K,288,write,18392,24389511168,1801.07,644.73,450,2120,7180,10440,17580,27890,159.83,211809781.43,100%
1024K,408,write,18211,6012217344,2508.19,720.35,530,2130,9780,15050,24480,116150,166.51,54439386.45,100%
0064K,360,write,18776,407610368,2205.78,2205.61,550,3020,8160,12060,20680,27630,163.12,3537815.33,100%
0256K,024,write,30684,1399656448,92.97,92.68,10,10,150,180,3010,6350,258.04,11767677.56,100%
0016K,144,write,16321,67405184,1034.92,1034.89,200,520,3010,5770,15930,34940,139.14,573915.28,100%
0004K,384,write,18988,26404032,2289.23,2289.22,570,3010,8770,13860,18420,28330,168.02,233923.57,100%
0256K,192,write,19141,1476673536,1184.88,1184.37,390,1440,4010,6990,9270,14080,162.03,12499461.68,100%
0064K,312,write,18686,404657152,1874.29,1874.11,470,2530,6360,11130,16770,24920,166.99,3605922.37,100%
8192K,240,write,17009,38036858880,1596.44,524.26,280,840,6190,10180,19150,25980,150.55,336309828.91,100%
0256K,336,write,18377,1535780864,2063.35,2062.78,460,2240,8070,12740,19990,28130,163.24,13628371.34,100%
1024K,360,write,18089,5894010880,2263.58,657.52,470,2090,9470,13050,19770,24020,159.26,51893384.81,100%
0016K,408,write,20188,126707968,2297.33,2297.27,760,2910,7340,12910,21130,52060,178.15,1116142.31,100%
0256K,240,write,18370,1470316544,1513.12,1512.6,410,1750,5180,8860,16220,22650,158.54,12648303.65,100%
0064K,192,write,17810,310402560,1249.2,1249.06,280,820,3280,7840,15560,28030,153.63,2671615.71,100%
0064K,096,write,22822,300474880,496.3,496.2,100,340,990,3010,8030,25440,193.31,2545651.61,100%
0064K,384,write,20591,519145984,2184.3,2184.1,790,3310,6910,10740,17170,34840,175.71,4427799.94,100%
0064K,288,write,18248,369134080,1841.6,1841.44,480,1990,6640,10950,17580,23560,156.48,3158239.75,100%
0016K,384,write,17962,90697600,2372.2,2372.15,480,1470,10630,14250,22250,52020,162.39,820410.19,100%
0004K,240,write,20454,27626272,1371.05,1371.04,640,2150,4240,6800,10150,17170,175.16,236794.07,100%
8192K,256,write,17967,44975683584,1661.94,621.01,440,1370,6370,9990,14610,28510,154.02,385640468.06,100%
0064K,240,write,19030,386802176,1445,1444.83,440,1910,4860,7690,15460,18440,166.04,3372701.17,100%
0016K,360,write,18178,94196224,2247.82,2247.77,480,2140,8830,13710,20380,28880,160.52,831382.39,100%
1024K,256,write,18591,6211799040,1568.47,646.84,430,2070,5850,9190,14840,18690,163.08,54441946.07,100%
0004K,312,write,20034,29408832,1786.76,1786.75,640,3000,6230,8130,14620,27990,174.45,254557.15,100%
0004K,024,write,22264,15678048,127.99,127.98,10,120,170,290,3010,13520,187.38,131929.86,100%
0256K,312,write,18563,1587156992,1910.05,1909.49,460,3020,7810,11810,15960,19410,163.57,13971602.06,100%
0016K,048,write,58302,164380800,97.7,97.68,10,10,160,200,3010,10130,490.91,1384126.3,100%
0004K,288,write,19866,28378272,1688.14,1688.13,540,2780,4800,8970,16310,29220,170.75,244085.41,100%
0064K,408,write,17993,364388352,2561.67,2561.5,510,1660,11080,15500,23110,53880,159.44,3224525.98,100%
0016K,312,write,18846,102620928,1895.11,1895.06,460,2340,7620,10640,15410,25040,164.85,897910.49,100%
1024K,144,write,17288,4497278976,970.81,446.85,210,630,3020,6620,11080,23660,148.34,38579647.99,100%
0064K,256,write,17904,345327616,1633.06,1632.9,380,1290,6930,10040,15100,25360,156.96,3027518.61,100%
0256K,384,write,19787,1906046976,2272.65,2272.03,630,3250,8370,11790,20240,38500,168.87,16252470.94,100%
1024K,384,write,19177,6923423744,2310.18,801.61,620,3220,8950,12600,17850,35170,166.22,59932522.85,100%
0256K,048,write,41521,1863737344,133.97,133.67,10,130,180,310,3010,16850,354.48,15930030.99,100%
4096K,408,write,18953,27198543872,2383.42,770.55,570,4290,8240,12220,21040,69880,173.49,248854764.11,100%
4096K,312,write,18087,23368900608,2024.82,619.55,430,1630,7780,11830,19540,29260,154.06,199040130.34,100%
8192K,096,write,21924,38871373824,513.23,285.44,60,390,770,3060,8180,25610,186.57,330890359.82,100%
0016K,240,write,17853,85850880,1546.93,1546.89,380,1210,6210,10300,13590,27390,155.15,746355.28,100%
8192K,192,write,17691,39945207808,1257.86,541.26,330,920,3830,7400,14970,25710,152.65,344233148.46,100%
0016K,288,write,18852,100870528,1742.41,1742.36,450,2370,6230,9160,18220,27660,165.19,882480.06,100%
4096K,384,write,17967,23041226752,2267.31,672.68,510,1720,9920,13320,19430,23930,170.04,217799333.8,100%
0256K,408,write,18453,1573105664,2517.32,2516.73,530,3160,10590,14160,17880,59070,162.19,13828653,100%
0004K,360,write,19482,28097216,2053.72,2053.71,610,2460,6410,10820,19370,28770,175.35,251463.12,100%
1024K,288,write,18184,5871806464,1840.41,639.53,430,1790,7600,11450,16670,27710,156.53,50532362.12,100%
8192K,336,write,17996,46081671168,1985.52,677.23,570,1970,6960,11990,19610,29530,169.94,434919040.4,100%
1024K,192,write,17904,5134329856,1225.65,520.7,290,940,3740,7970,13270,20880,156.7,44788230.6,100%
1024K,048,write,30194,5577967616,186.9,143.54,10,150,230,560,3020,17960,256.25,47350484.7,100%
0004K,192,write,19524,24216224,1163.91,1163.9,380,1360,4140,6390,9460,14210,164.95,204442.49,100%
0016K,336,write,18873,105343232,2054.58,2054.54,520,3170,7350,11470,17350,24110,163.59,912012.92,100%
8192K,360,write,18723,52339990528,2196.05,736.8,680,3280,8300,11120,18100,26390,164.16,459221239.44,100%
4096K,192,write,17512,19391827968,1266.12,493.55,260,760,5090,7780,15120,27000,151.63,167779978.74,100%
1024K,096,write,19358,4524568576,583.09,376.36,180,450,1500,3140,7320,25250,164.55,38455872.79,100%
8192K,024,write,23528,32997562368,121.51,111.66,10,160,290,330,3050,5090,197.49,276918109.84,100%
0064K,048,write,46444,524631040,122.21,122.13,10,110,170,230,3010,18600,391.51,4422491.64,100%
0256K,144,write,17404,1147242496,943.6,943.17,200,610,3030,6110,11440,16630,152.75,10061778.18,100%
0064K,144,write,18680,314115584,893.72,893.59,240,830,2980,5070,11420,21730,161.1,2711644.83,100%
0004K,256,write,20508,27818656,1465.86,1465.84,600,2180,4570,7380,11670,20480,174.68,236801.65,100%
8192K,312,write,17534,42550585344,2023.87,620.53,420,1200,8580,12910,20200,28710,154.23,374236052.22,100%
0004K,048,write,19503,15390528,284.53,284.52,30,150,240,1180,5430,20540,168.8,133208.62,100%
4096K,024,write,28011,19591399424,101.93,97.88,10,130,190,240,3030,3050,235.32,164596169.15,100%
0004K,408,write,20248,31697408,2331.43,2331.42,660,4340,8340,11720,18130,52060,175.1,273674.38,100%
1024K,312,write,17925,5711126528,1947.74,614.99,420,1410,8100,11830,19770,27800,161,51429967.78,100%
0256K,256,write,18896,1619343360,1549.56,1548.99,530,2170,4840,8230,13410,22590,165.58,14147648.17,100%
4096K,096,write,19964,18960748544,567.12,318.59,80,310,1430,3600,8490,14280,169.39,160818549.24,100%
4096K,240,write,18498,23504429056,1484.73,620.1,400,1610,5310,9380,13730,15680,161.52,204834135.64,100%
0016K,096,write,20224,74703488,562.69,562.66,160,420,1580,3010,6660,26000,170.65,630029.91,100%
0016K,256,write,18717,99204480,1538.04,1537.99,450,2060,4790,8960,13940,21760,166.51,880153.05,100%
0256K,288,write,18596,1563312128,1803.4,1802.83,480,2310,5930,10330,18030,28250,159.79,13428077.45,100%
0004K,144,write,18210,19446976,941.84,941.84,210,710,3010,6410,11780,18980,152.89,163271.56,100%
0016K,024,write,35904,97692928,79.45,79.43,10,10,140,170,3010,3010,301.82,821240.83,100%
0256K,360,write,17567,1333170176,2297.92,2297.4,460,1080,9880,15000,24260,29780,156.96,11901380.16,100%
0064K,024,write,32718,369455104,87.12,87.04,10,10,150,180,3010,4370,275.25,3108323.9,100%
8192K,288,write,18924,52962867200,1775.74,717.19,610,2390,6890,8630,18180,26850,162.12,453007775.65,100%
4096K,048,write,35148,25776345088,162.08,123.57,10,140,210,300,3040,11750,296.23,217207370.29,100%
8192K,144,write,17719,36012732416,928.61,477.6,290,790,3050,6170,10560,19670,155.35,315631952.04,100%
0064K,336,write,18706,402921984,2061.15,2060.98,530,2430,7030,11760,21430,29710,162.78,3490785.68,100%
4096K,360,write,18527,25326845952,2189.06,693.9,500,3170,8110,13040,20190,29260,164.7,224841586.74,100%
0256K,096,write,21227,1214083072,530.63,530.25,170,410,1220,3010,7420,10540,180.85,10344167.35,100%
1024K,336,write,18975,6687965184,2026.99,718.17,520,3020,7300,10710,18940,23950,165.89,58221997.13,100%
8192K,048,write,30208,44253583360,185.62,141.36,10,230,340,470,3060,19460,256.72,376335995.56,100%
4096K,144,write,16845,17380173824,985.55,421.77,180,510,2870,6680,13170,27940,146.26,151140148.12,100%
8192K,384,write,18544,50964080640,2339.04,737.02,690,2970,8570,12460,22450,43050,164.34,450540209.31,100%
1024K,240,read,101821,104264704000,281.3,276.62,200,320,500,790,2540,15780,853.06,873538477.2,100%
4096K,336,read,99669,408244224000,397.84,376.72,230,360,580,1020,5090,39650,843.92,3456711766.81,100%
1024K,024,read,50912,52133888000,56.53,52.1,60,80,90,110,150,330,424.41,434600831.57,100%
0004K,096,read,98271,393084000,117.12,116.86,110,160,220,290,490,2570,819.6,3278394.43,100%
0016K,192,read,107512,1720192000,213.62,213.54,160,250,370,560,1620,13460,898.72,14379482.93,100%
4096K,256,read,98639,404025344000,309.78,288.7,210,320,480,740,3400,15170,826.21,3384172401.8,100%
0004K,336,read,113085,452340000,346.89,346.65,190,310,520,930,4110,20120,968.12,3872496.04,100%
4096K,288,read,98728,404389888000,343.53,322.51,200,300,440,670,2700,22170,837.7,3431204008.96,100%
1024K,408,read,101911,104356864000,463.61,458.94,210,340,570,1030,7000,29700,879.85,900968444.43,100%
0064K,360,read,107125,6856000000,388.59,388.32,190,320,530,960,7280,21560,925.32,59220556.74,100%
0256K,024,read,54317,13905152000,53,51.91,60,80,90,110,140,320,452.76,115905450.89,100%
0016K,144,read,102434,1638944000,168.45,168.38,140,220,320,450,990,6940,854.79,13676568.25,100%
0004K,384,read,113798,455192000,392.57,392.32,190,310,510,870,6840,26190,977.87,3911465.64,100%
0256K,192,read,99949,25586944000,229.83,228.71,180,280,440,670,1710,5650,835.33,213845181.65,100%
0064K,312,read,106624,6823936000,342.03,341.76,180,300,480,800,3630,24360,911.08,58309054.98,100%
8192K,240,read,45970,376586240000,621.56,300.12,500,730,1060,1530,3690,19290,386.09,3162848015.65,100%
0256K,336,read,103430,26478080000,379.02,377.9,200,340,560,1000,4040,34010,886.37,226909539.83,100%
1024K,360,read,101680,104120320000,416.24,411.55,210,360,590,1050,5200,35440,864.16,884896512.8,100%
0016K,408,read,112916,1806656000,414.96,414.89,210,350,610,1110,4960,41750,979.44,15671101.76,100%
0256K,240,read,101034,25864704000,283.57,282.44,190,300,490,810,2860,13060,846.3,216654033.76,100%
0064K,192,read,103577,6628928000,219.76,219.48,160,260,390,590,1780,15640,873.6,55910631.82,100%
0064K,096,read,94467,6045888000,121.84,121.56,120,170,230,300,530,1800,787.85,50422180.14,100%
0064K,384,read,107172,6859008000,416.58,416.3,190,320,540,960,7540,32450,921.87,58999517.18,100%
0064K,288,read,104669,6698816000,326.32,326.04,180,310,520,900,4290,16240,882.26,56464681.77,100%
0016K,384,read,111783,1788528000,396.61,396.53,190,320,530,930,6000,35180,967.64,15482217.43,100%
0004K,240,read,109746,438984000,261.31,261.06,180,290,460,760,2770,10930,918.33,3673335.51,100%
8192K,256,read,45461,372416512000,671.27,321.26,470,680,970,1440,8870,20310,381.26,3123260715.36,100%
0064K,240,read,103113,6599232000,276.74,276.47,170,270,440,770,3370,14410,867.11,55495277.67,100%
0016K,360,read,110936,1774976000,380.36,380.27,200,340,560,1020,5200,27650,945.48,15127689.4,100%
1024K,256,read,101118,103544832000,299.25,294.55,190,300,460,730,3040,20400,855.52,876049286.13,100%
0004K,312,read,113480,453920000,317.84,317.59,170,270,440,720,4460,25410,979.43,3917729.58,100%
0004K,024,read,56084,224336000,51.32,51.02,60,70,90,110,150,910,467.5,1870002.62,100%
0256K,312,read,101889,26083584000,353.01,351.89,180,290,470,790,5290,37270,882.92,226027229.71,100%
0016K,048,read,77025,1232400000,74.73,74.66,80,110,130,160,250,1270,642.21,10275282.49,100%
0004K,288,read,111280,445120000,307.35,307.11,180,290,460,790,4370,18950,936.77,3747060.64,100%
0064K,408,read,106474,6814336000,444.4,444.12,190,330,560,1040,8170,38150,917.07,58692583.65,100%
0016K,312,read,110163,1762608000,331.8,331.73,180,300,470,760,4550,20790,939.91,15038571.64,100%
1024K,144,read,94490,96757760000,182.26,177.61,160,230,330,470,1080,5090,790.02,808982458.81,100%
0064K,256,read,104630,6696320000,291.47,291.2,190,310,500,840,3390,11090,878.23,56206465.14,100%
0256K,384,read,103717,26551552000,429.35,428.23,200,330,550,1020,7340,44690,893.34,228696081.1,100%
1024K,384,read,104076,106573824000,428.98,424.29,220,370,620,1140,4360,31410,894.19,915651031.86,100%
0256K,048,read,74053,18957568000,77.73,76.61,80,110,140,170,260,790,617.43,158063017,100%
4096K,408,read,102672,420544512000,468.94,447.67,240,400,700,1310,6830,20770,869.92,3563194690.51,100%
4096K,312,read,100223,410513408000,366.73,345.57,220,350,540,900,4520,16990,850.9,3485266247.18,100%
8192K,096,read,40526,331988992000,283.9,129.17,290,360,440,530,780,2490,338.12,2769875966.74,100%
0016K,240,read,107505,1720080000,265.1,265.02,170,290,450,740,2670,12170,905.37,14485984.83,100%
8192K,192,read,44794,366952448000,511.86,244.38,440,640,890,1240,2620,7390,375.08,3072656519.4,100%
0016K,288,read,108694,1739104000,312.68,312.6,170,280,450,730,4590,26320,920.95,14735203.63,100%
4096K,384,read,101098,414097408000,445.71,424.56,230,370,600,1040,7970,19070,861.08,3526989661.79,100%
0256K,408,read,105055,26894080000,451.85,450.71,200,350,600,1130,7330,50910,901.17,230699811.09,100%
0004K,360,read,114675,458700000,360.74,360.49,180,290,480,800,4930,28890,996.81,3987229.79,100%
1024K,288,read,100326,102733824000,339.51,334.86,200,320,510,860,4030,22260,848.07,868419242.47,100%
8192K,336,read,46843,383737856000,845.13,406.2,570,870,1340,2120,10840,32830,397.47,3256114444.26,100%
1024K,192,read,96932,99258368000,236.78,232.11,170,260,390,590,1780,13260,810.87,830330111.48,100%
1024K,048,read,71407,73120768000,80.6,76.04,80,110,140,170,250,930,595.4,609692508.15,100%
0004K,192,read,108867,435468000,210.9,210.65,160,250,390,590,1540,9460,910.3,3641204.4,100%
0016K,336,read,109881,1758096000,362.82,362.75,170,280,450,790,6990,22390,926.09,14817494.78,100%
8192K,360,read,46036,377126912000,907.12,443.36,530,820,1290,2260,13780,50970,396.62,3249141258.15,100%
4096K,192,read,97116,397787136000,236.73,215.71,200,290,420,590,1380,7720,810.98,3321784080.1,100%
1024K,096,read,87615,89717760000,131.35,126.74,120,180,240,310,590,3200,730.79,748326664.42,100%
8192K,024,read,22329,182919168000,128.88,52.65,140,160,180,190,230,390,186.18,1525207810.74,100%
0064K,048,read,75458,4829312000,76.3,76.04,80,110,140,170,260,4730,629.01,40256753.08,100%
0256K,144,read,97306,24910336000,177.36,176.23,150,230,330,460,1090,6890,811.86,207836268.98,100%
0064K,144,read,102025,6529600000,169.07,168.8,150,220,320,440,950,3970,851.66,54506029.53,100%
0004K,256,read,110007,440028000,276.27,276.03,170,280,450,730,3480,12410,926.56,3706246.61,100%
8192K,312,read,46378,379928576000,798.32,383.7,580,920,1520,2510,5690,12890,390.81,3201509641.08,100%
0004K,048,read,79286,317144000,72.62,72.32,80,110,130,160,240,900,660.92,2643682.5,100%
4096K,024,read,41929,171741184000,68.64,49.75,80,90,100,110,140,300,349.55,1431751687.83,100%
0004K,408,read,114276,457104000,407.03,406.78,190,330,560,990,6970,40500,1000.71,4002854.31,100%
1024K,312,read,100796,103215104000,363.42,358.75,210,340,570,1050,5240,13300,858.35,878955421.45,100%
0256K,256,read,102466,26231296000,295.75,294.63,190,310,490,780,3450,15870,865.75,221631726.72,100%
4096K,096,read,83841,343412736000,137.28,116.86,140,180,230,290,480,1730,699.18,2863835640.89,100%
4096K,240,read,98031,401534976000,292.67,271.61,210,330,480,740,2370,12020,819.98,3358641539.56,100%
0016K,096,read,96027,1536432000,119.89,119.81,120,170,230,300,530,2200,800.69,12811075.18,100%
0016K,256,read,109230,1747680000,279.42,279.34,180,300,490,800,2910,11990,916.16,14658487.69,100%
0256K,288,read,102105,26138880000,334.01,332.89,190,320,510,880,4670,14510,862.06,220687030.42,100%
0004K,144,read,105414,421656000,163.73,163.47,140,210,310,440,1020,4810,879.46,3517840.55,100%
0016K,024,read,55683,890928000,51.7,51.63,60,80,90,110,140,310,464.12,7425964.34,100%
0256K,360,read,103465,26487040000,403.03,401.89,190,310,500,870,7670,30220,893.89,228835827.69,100%
0064K,024,read,55112,3527168000,52.23,51.97,60,80,90,110,140,300,459.38,29400450.74,100%
8192K,288,read,45651,373972992000,750.11,370.84,500,760,1190,2110,7640,21620,383.97,3145479686.15,100%
4096K,048,read,64398,263774208000,89.39,69.75,90,120,140,160,220,1120,536.86,2198964132.96,100%
8192K,144,read,43538,356663296000,396.01,185.29,370,500,660,840,1530,5540,363.61,2978669214.42,100%
0064K,336,read,106023,6785472000,368.56,368.29,190,300,490,830,6900,20360,910.5,58272295.71,100%
4096K,360,read,99667,408236032000,424.21,403.06,230,360,580,970,7460,26310,848.05,3473613007.61,100%
0256K,096,read,90935,23279360000,126.56,125.43,120,170,230,310,560,2770,758.45,194163132.76,100%
1024K,336,read,100847,103267328000,382.72,378.05,200,330,530,880,4100,34420,876.26,897286827.22,100%
8192K,048,read,31992,262078464000,179.89,77.73,190,230,260,300,380,720,266.8,2185658685.02,100%
4096K,144,read,92075,377139200000,187.41,166.66,170,240,320,440,910,5550,768.27,3146837154.51,100%
8192K,384,read,46256,378929152000,962.14,463.05,560,890,1500,3040,10800,47150,399.02,3268752987.96,100%
